name ra dec qso bal redshift u uerr g gerr r rerr i ierr z zerr yAperMag3 yAperMag3Err jAperMag3 jAperMag3Err hAperMag3 hAperMag3Err kAperMag3 kAperMag3Err W1 W1err W2 W2err W3 W3err W4 W4err
 CQ2227+0022  336.9383  0.371333  1.0  0.0  2.23  22.27316  0.172089  21.1596  0.031995  20.18246  0.024556  19.64598  0.025611  19.07643  0.046312  18.3413  0.041787  17.901762  0.048528  17.141918  0.058044  16.269686  0.040708  15.659  0.055  14.212  0.052  10.579  0.083  8.19  0.238
 CQ2241+0115  340.3319  1.254528  99.0  99.0  99.0  22.68935  0.339602  21.60092  0.056919  20.51869  0.032451  19.99774  0.030671  19.27342  0.053287  18.724752  0.05784  17.577085  0.036989  17.278118  0.048743  16.208958  0.034673  14.465  0.034  13.164  0.039  10.665  0.155  8.148  0.309
 CQ2306+0108  346.6652  1.148667  1.0  0.0  3.65  23.75548  0.726951  20.76679  0.030706  19.37715  0.01725  19.14108  0.01991  18.95715  0.040643  18.516146  0.044442  17.733711  0.030097  17.123444  0.061339  16.445698  0.047114  15.423  0.052  14.936  0.104  11.923  0.313  8.395  9999.0
 CQ2316+0023  349.2473  0.388722  1.0  1.0  2.1  22.59519  1.036257  21.47867  0.042343  20.34411  0.027075  19.66785  0.022365  19.12681  0.045958  18.395666  0.035698  18.028057  0.05277  17.2554  0.05848  16.673725  0.050812  16.02  0.083  15.02  0.112  11.873  0.285  8.293  9999.0
 CQ2342+0043  355.5839  0.72875  1.0  0.0  1.65  21.82992  0.128274  21.41471  0.045671  20.50681  0.029212  19.71543  0.025546  19.35703  0.054025  18.646442  0.044003  17.908558  0.05745  17.011337  0.045635  16.694994  0.051791  15.301  0.05  13.967  0.05  10.642  0.09  8.645  0.407
 CQ2355+0007  358.8395  0.122  99.0  99.0  99.0  22.60918  0.201686  21.58249  0.047206  20.16388  0.028718  19.60088  0.024574  19.22996  0.045895  18.280003  0.039985  17.882734  0.035701  16.892141  0.046834  16.306656  0.040192  14.555  0.036  13.136  0.035  10.121  0.065  7.612  0.149
 CQ0022+0020  5.729458  0.348639  1.0  0.0  0.8  22.75822  0.289635  22.05593  0.066706  20.53014  0.031079  19.87322  0.029032  19.1857  0.0522  18.73279  0.067732  17.445541  0.036134  17.021147  0.048127  15.841728  0.027478  14.033  0.031  12.634  0.029  9.694  0.045  7.253  0.113
 CQ0107+0016  16.78275  0.268361  1.0  1.0  2.47  23.39448  0.509028  21.5297  0.051101  20.0163  0.021327  19.48516  0.020855  18.91639  0.038963  18.20401  0.033001  17.72804  0.039224  17.043142  0.053974  16.151608  0.035297  15.5  0.054  14.268  0.057  10.364  0.069  8.687  0.37
 CQ0127+0114  21.7605  1.236833  1.0  0.0  1.16  20.39768  0.04703  19.02075  0.022068  17.99877  0.014532  17.50736  0.017684  17.29587  0.033056  16.420479  0.01  15.946849  0.010591  15.329195  0.011882  14.709458  0.010246  13.973  0.027  12.976  0.027  9.939  0.04  6.641  0.053
 CQ0211+0030  32.97379  0.51275  1.0  0.0  3.45  24.08105  0.723042  21.37328  0.041515  20.13545  0.024316  19.67522  0.023876  19.36417  0.051873  18.73721  0.051373  18.003908  0.045101  17.524628  0.079532  16.784933  0.060785  15.732  0.05  15.456  0.109  11.541  0.138  8.834  9999.0
 CQ0239+0115  39.85375  1.254333  1.0  0.0  0.87  23.00037  0.360637  21.62917  0.049539  20.67094  0.032802  20.0028  0.029634  19.36096  0.046154  18.375889  0.044086  17.54537  0.032454  16.885017  0.026545  16.05736  0.026587  14.833  0.031  13.944  0.042  11.213  0.119  7.953  0.146
 CQ0303+0105  45.91671  1.09925  1.0  1.0  3.45  25.27393  0.671552  20.53358  0.024374  19.67531  0.021403  19.43122  0.019147  19.32748  0.041671  18.665783  0.047369  18.032635  0.038231  17.553123  0.062456  16.750587  0.046185  15.865  0.072  15.33  0.136  11.428  0.184  8.531  0.33
 CQ0311+0103  47.92646  1.065333  1.0  0.0  3.27  22.6591  0.249223  21.2355  0.037854  20.18826  0.022465  19.66518  0.024838  19.14091  0.046287  18.237976  0.031826  17.706526  0.026722  16.891445  0.035251  15.992054  0.021472  15.325  0.047  14.214  0.055  10.599  0.083  7.862  0.171
 CQ0312+0032  48.05933  0.543111  1.0  0.0  1.25  21.93447  0.140165  20.36391  0.021978  19.39775  0.019309  19.002  0.01951  18.85697  0.037141  18.345587  0.037138  17.967104  0.033619  17.339281  0.050321  16.702305  0.038062  15.404  0.051  13.954  0.05  11.085  0.13  8.561  0.352
 CQ0312+0035  48.05571  0.5985  1.0  0.0  1.28  22.26869  0.185529  20.96641  0.03057  19.83368  0.021758  19.37815  0.021797  19.07075  0.041129  18.17021  0.031985  17.765963  0.028061  16.955393  0.035784  16.469889  0.031044  15.337  0.046  14.223  0.054  11.23  0.138  8.643  9999.0
 CQ0326+0106  51.51583  1.101083  1.0  0.0  0.85  22.10627  0.174658  21.10655  0.033057  20.2114  0.021637  19.79539  0.026462  19.29798  0.051118  18.616707  0.039152  17.714804  0.028649  17.278372  0.052499  16.373465  0.028684  14.605  0.036  13.306  0.035  10.407  0.067  8.234  0.247
